序号	汉字	拼音	音调	拼音码
241	捌	bā	1	ba
242	笆	bā	1	ba
243	笆	ba	0	ba
244	粑	bā	1	ba
245	紦	bā	1	ba
246	羓	bā	1	ba
247	蚆	bā	1	ba
248	釟	bā	1	ba
249	鲃	bā	1	ba
250	魞	bā	1	ba
251	鈀	bā	1	ba
252	柭	bā	1	ba
253	丷	bā	1	ba
254	峇	bā	1	ba
255	豝	bā	1	ba
256	叐	bá	2	ba
257	犮	bá	2	ba
258	抜	bá	2	ba
259	坺	bá	2	ba
260	妭	bá	2	ba
261	拔	bá	2	ba
262	茇	bá	2	ba
263	炦	bá	2	ba
264	癹	bá	2	ba
265	胈	bá	2	ba
266	釛	bá	2	ba
267	菝	bá	2	ba
268	詙	bá	2	ba
269	跋	bá	2	ba
270	軷	bá	2	ba
271	颰	bá	2	ba
272	魃	bá	2	ba
273	墢	bá	2	ba
274	鼥	bá	2	ba
275	把	bǎ	3	ba
276	把	bà	4	ba
277	钯	bǎ	3	ba
278	靶	bǎ	3	ba
279	坝	bà	4	ba
280	弝	bà	4	ba
281	爸	bà	4	ba
282	罢	bà	4	ba
283	鲅	bà	4	ba
284	罷	bà	4	ba
285	鮁	bà	4	ba
286	覇	bà	4	ba
287	矲	bà	4	ba
288	霸	bà	4	ba
289	壩	bà	4	ba
290	灞	bà	4	ba
291	欛	bà	4	ba
292	鲌	bà	4	ba
293	鮊	bà	4	ba
294	皅	bà	4	ba
295	挀	bāi	1	bai
296	掰	bāi	1	bai
297	白	bái	2	bai
298	白	bai	0	bai
299	百	bǎi	3	bai
300	百	bó	2	bo
301	佰	bǎi	3	bai
302	柏	bǎi	3	bai
303	柏	bó	2	bo
304	柏	bò	4	bo
305	栢	bǎi	3	bai
306	捭	bǎi	3	bai
307	竡	bǎi	3	bai
308	粨	bǎi	3	bai
309	絔	bǎi	3	bai
310	摆	bǎi	3	bai
311	擺	bǎi	3	bai
312	襬	bǎi	3	bai
313	庍	bài	4	bai
314	拝	bài	4	bai
315	败	bài	4	bai
316	拜	bài	4	bai
317	敗	bài	4	bai
318	稗	bài	4	bai
319	粺	bài	4	bai
320	鞁	bài	4	bai
321	薭	bài	4	bai
322	贁	bài	4	bai
323	韛	bài	4	bai
324	扳	bān	1	ban
325	攽	bān	1	ban
326	朌	bān	1	ban
327	班	bān	1	ban
328	般	bān	1	ban
329	般	bō	1	bo
330	颁	bān	1	ban
331	斑	bān	1	ban
332	搬	bān	1	ban
333	斒	bān	1	ban
334	頒	bān	1	ban
335	瘢	bān	1	ban
336	螁	bān	1	ban
337	螌	bān	1	ban
338	褩	bān	1	ban
339	癍	bān	1	ban
340	辬	bān	1	ban
341	籓	bān	1	ban
342	肦	bān	1	ban
343	鳻	bān	1	ban
344	搫	bān	1	ban
345	阪	bǎn	3	ban
346	坂	bǎn	3	ban
347	岅	bǎn	3	ban
348	昄	bǎn	3	ban
349	板	bǎn	3	ban
350	版	bǎn	3	ban
351	钣	bǎn	3	ban
352	粄	bǎn	3	ban
353	舨	bǎn	3	ban
354	鈑	bǎn	3	ban
355	蝂	bǎn	3	ban
356	魬	bǎn	3	ban
357	覂	bǎn	3	ban
358	瓪	bǎn	3	ban
359	办	bàn	4	ban
360	半	bàn	4	ban
361	伴	bàn	4	ban
362	扮	bàn	4	ban
363	扮	ban	0	ban
364	姅	bàn	4	ban
365	怑	bàn	4	ban
366	拌	bàn	4	ban
367	绊	bàn	4	ban
368	秚	bàn	4	ban
369	湴	bàn	4	ban
370	絆	bàn	4	ban
371	鉡	bàn	4	ban
372	靽	bàn	4	ban
373	辦	bàn	4	ban
374	瓣	bàn	4	ban
375	跘	bàn	4	ban
376	邦	bānɡ	1	bang
377	峀	bānɡ	1	bang
378	垹	bānɡ	1	bang
379	帮	bānɡ	1	bang
380	捠	bānɡ	1	bang
381	梆	bānɡ	1	bang
382	浜	bānɡ	1	bang
383	邫	bānɡ	1	bang
384	幚	bānɡ	1	bang
385	縍	bānɡ	1	bang
386	幫	bānɡ	1	bang
387	鞤	bānɡ	1	bang
388	幇	bānɡ	1	bang
389	绑	bǎnɡ	3	bang
390	綁	bǎnɡ	3	bang
391	榜	bǎnɡ	3	bang
392	牓	bǎnɡ	3	bang
393	膀	bǎnɡ	3	bang
394	膀	pānɡ	1	pang
395	膀	pánɡ	2	pang
396	騯	bǎnɡ	3	bang
397	玤	bànɡ	4	bang
398	蚌	bànɡ	4	bang
399	傍	bànɡ	4	bang
400	棒	bànɡ	4	bang
401	棓	bànɡ	4	bang
402	硥	bànɡ	4	bang
403	谤	bànɡ	4	bang
404	塝	bànɡ	4	bang
405	徬	bànɡ	4	bang
406	稖	bànɡ	4	bang
407	蒡	bànɡ	4	bang
408	蜯	bànɡ	4	bang
409	镑	bànɡ	4	bang
410	艕	bànɡ	4	bang
411	謗	bànɡ	4	bang
412	鎊	bànɡ	4	bang
413	埲	bànɡ	4	bang
414	蚄	bànɡ	4	bang
415	蛖	bànɡ	4	bang
416	嫎	bànɡ	4	bang
417	勹	bāo	1	bao
418	包	bāo	1	bao
419	佨	bāo	1	bao
420	孢	bāo	1	bao
421	胞	bāo	1	bao
422	剝	bāo	1	bao
423	笣	bāo	1	bao
424	煲	bāo	1	bao
425	龅	bāo	1	bao
426	蕔	bāo	1	bao
427	褒	bāo	1	bao
428	闁	bāo	1	bao
429	襃	bāo	1	bao
430	齙	bāo	1	bao
431	剥	bāo	1	bao
432	剥	bō	1	bo
433	枹	bāo	1	bao
434	裦	bāo	1	bao
435	苞	bāo	1	bao
436	窇	báo	2	bao
437	嫑	báo	2	bao
438	雹	báo	2	bao
439	铇	báo	2	bao
440	薄	báo	2	bao
441	薄	bó	2	bo
442	薄	bò	4	bo
443	宝	bǎo	3	bao
444	怉	bǎo	3	bao
445	饱	bǎo	3	bao
446	保	bǎo	3	bao
447	鸨	bǎo	3	bao
448	珤	bǎo	3	bao
449	堡	bǎo	3	bao
450	堡	bú	2	bu
451	堡	pù	4	pu
452	堢	bǎo	3	bao
453	媬	bǎo	3	bao
454	葆	bǎo	3	bao
455	寚	bǎo	3	bao
456	飹	bǎo	3	bao
457	飽	bǎo	3	bao
458	褓	bǎo	3	bao
459	駂	bǎo	3	bao
460	鳵	bǎo	3	bao
461	緥	bǎo	3	bao
462	賲	bǎo	3	bao
463	藵	bǎo	3	bao
464	寳	bǎo	3	bao
465	寶	bǎo	3	bao
466	靌	bǎo	3	bao
467	宀	bǎo	3	bao
468	鴇	bǎo	3	bao
469	勽	bào	4	bao
470	报	bào	4	bao
471	抱	bào	4	bao
472	豹	bào	4	bao
473	菢	bào	4	bao
474	袌	bào	4	bao
475	報	bào	4	bao
476	鉋	bào	4	bao
477	鲍	bào	4	bao
478	靤	bào	4	bao
479	骲	bào	4	bao
480	暴	bào	4	bao
481	暴	pù	4	pu
482	髱	bào	4	bao
483	虣	bào	4	bao
484	鮑	bào	4	bao
485	儤	bào	4	bao
486	曓	bào	4	bao
487	爆	bào	4	bao
488	忁	bào	4	bao
489	鑤	bào	4	bao
490	蚫	bào	4	bao
491	瀑	bào	4	bao
492	瀑	pù	4	pu
493	萡	be	0	be
494	呗	bei0	0	bei0
495	唄	bei0	0	bei0
496	陂	bēi	1	bei
497	陂	pí	2	pi
498	陂	pō	1	po
499	卑	bēi	1	bei
500	盃	bēi	1	bei
501	桮	bēi	1	bei
502	悲	bēi	1	bei
503	揹	bēi	1	bei
504	碑	bēi	1	bei
505	鹎	bēi	1	bei
506	藣	bēi	1	bei
507	鵯	bēi	1	bei
508	柸	bēi	1	bei
509	錍	bēi	1	bei
510	椑	bēi	1	bei
511	諀	bēi	1	bei
512	杯	bēi	1	bei
513	喺	béi	2	bei
514	北	běi	3	bei
515	鉳	běi	3	bei
516	垻	bèi	4	bei
517	贝	bèi	4	bei
518	狈	bèi	4	bei
519	貝	bèi	4	bei
520	邶	bèi	4	bei
521	备	bèi	4	bei
522	昁	bèi	4	bei
523	牬	bèi	4	bei
524	苝	bèi	4	bei
525	背	bèi	4	bei
526	背	bēi	1	bei
527	钡	bèi	4	bei
528	俻	bèi	4	bei
529	倍	bèi	4	bei
530	悖	bèi	4	bei
531	狽	bèi	4	bei
532	被	bèi	4	bei
533	偝	bèi	4	bei
534	偹	bèi	4	bei
535	梖	bèi	4	bei
536	珼	bèi	4	bei
537	備	bèi	4	bei
538	僃	bèi	4	bei
539	惫	bèi	4	bei
540	焙	bèi	4	bei
541	琲	bèi	4	bei
542	軰	bèi	4	bei
543	辈	bèi	4	bei
544	愂	bèi	4	bei
545	碚	bèi	4	bei
546	禙	bèi	4	bei
547	蓓	bèi	4	bei
548	蛽	bèi	4	bei
549	犕	bèi	4	bei
550	褙	bèi	4	bei
551	誖	bèi	4	bei
552	骳	bèi	4	bei
553	輩	bèi	4	bei
554	鋇	bèi	4	bei
555	憊	bèi	4	bei
556	糒	bèi	4	bei
557	鞴	bèi	4	bei
558	鐾	bèi	4	bei
559	鐴	bèi	4	bei
560	杮	bèi	4	bei
561	韝	bèi	4	bei
562	棑	bèi	4	bei
563	哱	bèi	4	bei
564	鄁	bèi	4	bei
565	奔	bēn	1	ben
566	奔	bèn	4	ben
567	泍	bēn	1	ben
568	贲	bēn	1	ben
569	贲	bì	4	bi
570	倴	bēn	1	ben
571	渀	bēn	1	ben
572	逩	bēn	1	ben
573	犇	bēn	1	ben
574	賁	bēn	1	ben
575	錛	bēn	1	ben
576	喯	bēn	1	ben
577	锛	bēn	1	ben
578	本	běn	3	ben
579	苯	běn	3	ben
580	奙	běn	3	ben
581	畚	běn	3	ben
582	楍	běn	3	ben
583	翉	běn	3	ben
584	夲	běn	3	ben
585	坌	bèn	4	ben
586	捹	bèn	4	ben
587	桳	bèn	4	ben
588	笨	bèn	4	ben
589	撪	bèn	4	ben
590	獖	bèn	4	ben
591	輽	bèn	4	ben
592	炃	bèn	4	ben
593	燌	bèn	4	ben
594	伻	bēnɡ	1	beng
595	祊	bēnɡ	1	beng
596	奟	bēnɡ	1	beng
597	崩	bēnɡ	1	beng
598	绷	bēnɡ	1	beng
599	绷	běnɡ	3	beng
600	绷	bènɡ	4	beng
601	絣	bēnɡ	1	beng
602	閍	bēnɡ	1	beng
603	嵭	bēnɡ	1	beng
604	痭	bēnɡ	1	beng
605	嘣	bēnɡ	1	beng
606	綳	bēnɡ	1	beng
607	繃	bēnɡ	1	beng
608	嗙	bēnɡ	1	beng
609	挷	bēnɡ	1	beng
610	傰	bēnɡ	1	beng
611	搒	bēnɡ	1	beng
612	甭	bénɡ	2	beng
613	埄	běnɡ	3	beng
614	菶	běnɡ	3	beng
615	琣	běnɡ	3	beng
616	鞛	běnɡ	3	beng
617	琫	běnɡ	3	beng
618	泵	bènɡ	4	beng
619	迸	bènɡ	4	beng
620	逬	bènɡ	4	beng
621	跰	bènɡ	4	beng
622	塴	bènɡ	4	beng
623	甏	bènɡ	4	beng
624	镚	bènɡ	4	beng
625	蹦	bènɡ	4	beng
626	鏰	bènɡ	4	beng
627	錋	bènɡ	4	beng
628	皀	bī	1	bi
629	屄	bī	1	bi
630	偪	bī	1	bi
631	毴	bī	1	bi
632	逼	bī	1	bi
633	豍	bī	1	bi
634	螕	bī	1	bi
635	鲾	bī	1	bi
636	鎞	bī	1	bi
637	鵖	bī	1	bi
638	鰏	bī	1	bi
639	悂	bī	1	bi
640	鈚	bī	1	bi
641	柲	bí	2	bi
642	荸	bí	2	bi
643	鼻	bí	2	bi
644	嬶	bí	2	bi
645	匕	bǐ	3	bi
646	比	bǐ	3	bi
647	夶	bǐ	3	bi
648	朼	bǐ	3	bi
649	佊	bǐ	3	bi
650	妣	bǐ	3	bi
651	沘	bǐ	3	bi
652	疕	bǐ	3	bi
653	彼	bǐ	3	bi
654	柀	bǐ	3	bi
655	秕	bǐ	3	bi
